"Cau_hoi","Dap_an","Embedding"
"Câu 32: Cường độ điện trường tại một điểm trong điện trường do điện tích q (q>0) gây ra không có đặc điểm nào sau đây? A. chiều hướng về phía q. B. chiều hướng ra xa q. C. phụ thuộc độ lớn của q. D. phụ thuộc vào điện môi xung quanh q.","",""
"Câu 33: Công thức xác định cường độ điện trường gây ra bởi điện tích q < 0, tại một điểm trong chân không, cách điện tích q một khoảng r là: A. B. C. D.","",""
"Câu 34: Nếu khoảng cách từ điện tích nguồn tới điểm đang xét tăng 4 lần thì cường độ điện trường: A. giảm 4 lần. B. tăng 4 lần. C. giảm 16 lần. B. tăng 16 lần.","",""
"Câu 35: Điện trường đều xuất hiện ở đâu?","Xung quanh một điện tích dương. D. Xung quanh một điện tích âm. Vùng không gian bên trong 2 bản điện cực tích điện trái dấu đặt song song. Vùng ko gian bên trong 2 bản điện cực tích điện trái dấu đặt với nhau.",""
"Câu 36: Đường sức điện trong điện trường đều có đặc điểm:","Là những đường cong kín. Là những đường thẳng // cách đều có hướng từ cực âm sang cực dương. Là những đường cong không kín. Là những đường thẳng // cách đều có hướng từ cực dương sang cực âm.",""
"Câu 37: Công thức tính cường độ điện trường trong điện trường đều được tạo ra bởi 2 bản kim loại đặt song song cách nhau 1 khoảng d, hiệu điện thế giữa 2 bản là U là công thức nào? A. E=U.d B. E= C. E= D. E=U-d","",""
"Câu 38: Trong 1 điện trường đều, nếu trên 1 đường sức, giữa 2 điểm cách nhau 2cm có hiệu điện thế 20V, giữa 2 điểm cách nhau 6 cm có hiệu điện thế là bao nhiêu?","",""
"Câu 39: Hai điểm M và N nằm trên cùng một đường sức của 1 điện trường đều có cường độ E, hiệu điện thế giữa M và N là UMN, khoảng cách MN = d. Công thức nào sau đây ko đúng? A. UMN = VM – VN. B. AMN = q.UMN C. UMN = E.d D. E = UMN.d","",""
"Câu 40: Mối liên hệ giữa hiệu điện thế UMN và hiệu điện thế UNM là: A. UMN = UNM. B. UMN = - UNM C. UMN = 1/UNM D. UMN = -1/UNM.","",""
"Câu 41: Công thức xác định lực điện khi đặt một điện tích trong điện trường đều là: A. B. C. D.","",""
"Câu 42: Đơn vị của điện thế tại một điểm trong điện trường là gì? A. J (Jun). B. V (Vôn). C. N (Newton). D. K (Kenvin).","",""
"Câu 43: Tính công của lực điện trường làm một điện tích 2μC dịch chuyển 2m theo phương với các đường sức điện trong 1 điện trường đều có cường độ 5.106 V/m.","",""
"Câu 44: Tụ điện là: A. hệ thống gồm hai vật đặt gần nhau và ngăn cách nhau bằng một lớp cách điện. B. hệ thống gồm 2 vật dẫn đặt gần nhau và ngăn cách nhau bằng 1 lớp cách điện. C. hệ thống gồm hai vật dẫn đặt tiếp xúc với nhau và được bao bọc bằng điện môi. D. hệ thống hai vật dẫn đặt cách nhau một khoảng đủ xa.","",""
"Câu 45: công thức không phải để tính năng lượng điện trường trong tụ điện là: A. W = Q2/2C. B. W = QU/2. C. W = CU2/2. D. W = C2/2Q.","",""
"Câu 46. Tại 2 điểm A, B cách nhau 20 cm trong dầu có hằng số điện môi là 20, người ta đặt 2 điện tích điểm q1 và q2. Biết q1= 8.10-8C; q2 = -4.10-8C. Hỏi lực tương tác giữa 2 điện tích điểm là lực hút hay lực đẩy? Tính độ lớn của lực đó? Vẽ hình.","",""
"Câu 47. Trong chân không, tại 2 điểm A, M có 2 điện tích q1 và q2. Biết q1=3.10-8 C, q2 = 4.10-8C. Xác định cường độ điện trường tổng hợp tại điểm C, biết CA=8cm, CB=6cm, AB=10cm.","",""
"Câu 48. Trên vỏ một tụ điện có ghi thông số . Nối hai bản tụ với hiệu điện thế 200V. Khoảng cách giữa 2 bản tụ 4 mm. a. Giải thích các đại lượng trên. b. Tính điện tích cực đại mà tụ tích được. c. Tính cường độ điện trường lớn nhất giữa hai bản tụ.","",""
"Câu 22. Một vòng tròn tâm O nằm trong điện trường của một điện tích điểm q; A và B là hai điểm trên vòng tròn đó. Gọi AA1B, AA2B và AAB là công của lực điện tác dụng lên điện tích điểm q trong các dịch chuyển dọc theo 3 quỹ đạo như hình vẽ. So sánh công của 3 quỹ đạo trên.","",""
"Độ lệch pha giữa hai dao động điều hòa cùng chu kì (cùng tần số) được xác định bởi công thức:","II. BÀI TẬP MINH HỌA",""
"BÀI TẬP 2. Đồ thị biểu diễn li độ theo thời gian của một vật được mô tả như hình vẽ. Hãy xác định, biên độ, chu kì, tần số, tần số góc và pha ban đầu","Hướng dẫn giải *Biên độ: A = 4 cm; Chu kì: T = 8 Ô = 8. 5 = 40 ms *Tần số: ; Tần số góc (rad/s) *Lúc t = 0 vật ở biên dương nên pha ban đầu là: . II. BÀI TẬP RÈN LUYỆN Đồ thị biểu diễn li độ theo thời gian của một vật được mô tả như hình vẽ. Hãy xác định, biên độ, chu kì, tần số, tần số góc và pha ban đầu Đồ thị li độ theo thời gian của hai vật dao động điều hòa A và B có cùng tần số được cho như hình vẽ. Tính độ lệch pha của dao động A so với dao động B trong các hình dưới đây? 1. Đồ thị hình sin Một vật dao động điều hòa trên trục Ox. Hình bên là đồ thị biểu diễn sự phụ thuộc của li độ x vào thời gian t. Biên độ của vật dao động bằng A.1,0 cm. B. 2,0 cm. C. 4,0 cm. D. 3,0 cm. Một vật dao động điều hòa trên trục Ox. Hình bên là đồ thị biểu diễn sự phụ thuộc của li độ x vào thời gian t. Tần số của dao động là A. 2,0 Hz. B. 1,0 Hz. C. 1,5 Hz. D. 0,5 Hz. Một vật dao động điều hòa trên trục Ox. Hình bên là đồ thị biểu diễn sự phụ thuộc của li độ x vào thời gian t. Chu kì của của dao động là A. 10,0 s. B. 50,0. C. 0,02 s. D. 20,0 s. Một vật dao động điều hòa trên trục Ox. Hình bên là đồ thị biểu diễn sự phụ thuộc của li độ x vào thời gian t. Pha ban đầu của dao động là A. . B. rad. C. rad. D. rad. Một vật dao động điều hòa trên trục Ox. Hình bên là đồ thị biểu diễn sự phụ thuộc của li độ x vào thời gian t. Pha ban đầu của dao động là A. . B. rad. C. rad. D. rad. Đồ thị li độ của vật dao động điều hòa theo thời gian được biểu diễn như hình vẽ. Phương trình dao động của vật là A.(cm). B. (cm). C. (cm). D. (cm). Hình bên là đồ thị biểu diễn sự phụ thuộc li độ x theo thời gian t của một vật dao động điều hòa. Phương trình dao động của vật là A. (cm). B. (cm). C. (cm). D. (cm). Hình bên là đồ thị biểu diễn sự phụ thuộc li độ x theo thời gian t của một vật dao động điều hòa. Phương trình dao động của vật là A.(cm). B. (cm). C. (cm). D. (cm). Hình bên là đồ thị biểu diễn sự phụ thuộc li độ x theo thời gian t của một vật dao động điều hòa. Phương trình dao động của vật là A.(cm). B. (cm). C. (cm). D. (cm). Hình bên là đồ thị biểu diễn sự phụ thuộc vận tốc theo thời gian t của một vật dao động điều hòa. Phương trình dao động của vật là A.. B. . C. . D. . Hình bên là đồ thị biểu diễn sự phụ thuộc của vận tốc theo thời gian của một vật dao động điều hòa. Phương trình dao động của vật là A. . B. . C. . D. . Một vật dao động điều hòa theo phương trình . Hình bên là đồ thị biểu diễn sự phụ thuộc của vận tốc v của vật theo thời gian t. Ở thời điểm t = 0,2 s, pha của dao động có giá trị bằng A.. B.. C.. D.. 2. Đồ thị độ lệch pha Hình bên là hai đường hình sin biểu diễn hai trong ba đại lượng: li độ x, vận tốc v và gia tốc a theo thời gian t. Đường số (1) và đường số (2) lần lượt biểu diễn cho A. vận tốc và gia tốc. B. gia tốc và vận tốc. C. vận tốc và li độ. D. li độ và gia tốc. Hình bên là hai đường hình sin biểu diễn hai trong ba đại lượng: li độ x, vận tốc v và gia tốc a theo thời gian t. Đường số (1) và đường số (2) lần lượt biểu diễn cho A. vận tốc và gia tốc. B. gia tốc và vận tốc. C. vận tốc và li độ. D. li độ và gia tốc. Hình bên là hai đường hình sin biểu diễn hai trong ba đại lượng: li độ x, vận tốc v và gia tốc a theo thời gian t. Đường số (1) và đường số (2) lần lượt biểu diễn cho A. vận tốc và gia tốc. B. gia tốc và vận tốc. C. vận tốc và li độ. D. li độ và gia tốc. Hai chất điểm A và B dao động điều hòa cùng tần số. Hình bên là đồ thị biểu diễn sự phụ thuộc li độ x1 của chất điểm A và li độ x2 của chất điểm B theo thời gian t. Hai chất điểm A và B lệch pha nhau A. . B. . C.. D. . Hai vật dao động điều hòa cùng tần số. Hình bên là đồ thị biểu diễn sự phụ thuộc li độ x1 của chất điểm A và li độ x2 của chất điểm B theo thời gian t. Vật A dao động sớm pha hơn vật B một góc A. . B. . C.. D. . Hai vật M1 và M2 dao động điều hòa cùng tần số. Hình bên là đồ thị biểu diễn sự phụ thuộc của li độ x1 của M1 và vận tốc v2 của M2 theo thời gian t. Hai dao động của M1 và M2 lệch pha nhau A.. B. . C. . D. . Hai vật M1 và M2 dao động điều hòa cùng tần số. Hình bên là đồ thị biểu diễn sự phụ thuộc của li độ x1 của M1 và vận tốc v2 của M2 theo thời gian t. Hai dao động của M1 và M2 lệch pha nhau A. . B. . C. . D. . Hai chất điểm A và B dao động điều hòa cùng phương, cùng tần số. Trong quá trình dao động, gia tốc của chất điểm A là a1 và vận tốc của chất điểm B là v2. Hình bên là đồ thị biễu diễn sự phụ thuộc của a1 và v2 theo thời gian t. Hai dao động điều hòa A và B lệch pha nhau A.rad. B.rad. C.rad. D.rad. 3. Một số đồ thị khác Một vật dao động điều hòa trên trục Ox với tần f. Hình bên là đồ thị mô tả mối quan hệ giữa li độ dao động x và vận tốc tức thời v của vật. Vận tốc của vật có độ lớn cực đại bằng A. cm/s. B. cm/s. C. 70 cm/s. D. 68 cm/s. Một vật dao động điều hòa trên trục Ox với tần f. Hình bên là đồ thị mô tả mối quan hệ giữa gia tốc a của vật x và vận tốc tức thời v của vật. Vận tốc của vật có độ lớn cực đại bằng A. cm/s. B. cm/s. C. 70 cm/s. D. 68 cm/s. Một vật dao động điều hòa dọc theo trục Ox, có đồ thị biểu diễn sự phụ thuộc của bình phương vận tốc (v2) vào li độ x như hình vẽ. Tần số góc của vật là A. 10 rad/s. B. 2 rad/s. C. 20 rad/s. D. 40 rad/s. Một chất điểm dao động điều hòa quanh vị trí cân bằng O với chiều dài quỹ đạo L = 8 cm. Hình bền là đồ thị biểu diễn pha dao động của chất điểm theo thời gian t. Phương trình dao động của chất điểm là A.(cm). B. (cm). C. (cm). D. (cm). ---HẾT--- THẦY VŨ VIẾT VĂN LỚP LÍ 11 SĐT: 0965617696 | CHỦ ĐỀ 03: ĐỒ THỊ TRONG DAO ĐỘNG ĐIỀU HÒA LÍ THUYẾT & BÀI TẬP PHÂN THEO LOGIC (Bám sát chương trình GDPT mới)",""
"Bài 1: Một vật có khối lượng m = 200 g đang dao động điều hòa với tần số góc 20 rad/s với biên độ A = 10 cm. Lấy . Xác định : a) Cơ năng của của con lắc. b) Động năng của con lắc tại li độ x = 8 cm. c) Li độ của vật tại thời điểm động năng của vật bằng thế năng của hệ. d) Li độ của vật tại thời điểm động năng của vật bằng 3 lần thế năng của hệ.","e) Li độ của vật tại thời điểm thế năng của hệ bằng 3 lần động năng của vật. g) Tần số góc của động năng và thế năng.",""
"Bài 2: Đồ thị hình bên mô tả sự thay đổi động năng theo li độ của của quả cầu có khối lượng 0,4 kg trong một con lắc lò xo treo thẳng đứng. Xác định: a) Cơ năng của con lắc. b) Tốc độ cực đại của quả cầu. c) Thế năng của con lắc khi quả cầu ở vị trí có li độ 2 cm","",""
"Bài 3: Cho đồ thị vận tốc theo thời gian của một vật dđđh như hình vẽ. Biết rằng khối lượng của vật m = 0,2 kg. Hãy xác định: a) Chu kì và tần số góc của con lắc. b) Độ lớn vận tốc cực đại của vật. c) Cơ năng của con lắc. d) Biên độ dao động của vật.","",""
"Bài 4: Một chất điểm khối lượng m dđđh trên trục Ox theo phương trình . Động năng của chất điểm có biểu thức là: A. . B. . C. . D. .","",""
"Bài 5: Một vật khối lượng 400 g thực hiện dao động điều hòa. Đồ thị bên mô tả động năng Wđ vật theo thời gian t. Lấy . Biên độ dao động của vật là A.cm. B. 8 cm. C. 4 cm. D. 2 cm.","",""
"Bài 6: Con lắc lò xo gồm vật nhỏ khối lượng 100g gắn với một lò xo nhẹ. Con lắc dđđh theo phương ngang với phương trình x = 10cos10t (cm). Mốc thế năng ở VTCB. Lấy 2 = 10. Cơ năng của con lắc bằng: A. 0,10 J. B. 0,05 J. C. 1,00 J. D. 0,50 J.","",""
"Bài 7: Một vật có m = 500 g dao động điều hoà với phương trình dao động (cm). Lấy . Khi vật có li độ 1 cm thì thế năng của vật bằng A. 0,01 J. B. 0,02 J. C. 2,5 mJ. D. 0,1 J.","",""
"Bài 8: Một vật nhỏ có khối lượng 100 g dao động điều hòa với tần số góc 20 rad/s và biên độ 3 cm. Chọn mốc thế năng tại vi trí cân bằng. Cơ năng của vật là A. 0,6 J. B. 18 mJ. C. 180 J. D. 36 mJ.","",""
"Bài 9: Một vật có m = 500 g dao động điều hoà với phương trình dao động (cm). Lấy 10. Tại thời điểm t = 0 thì động năng của vật bằng A. 15,0 mJ. B. 7,5 mJ. C. 2,5 mJ. D. 75,0 J.","",""
"Bài 10: Khi nói về một vật dao động điều hòa, phát biểu nào sau đây sai? A. Gia tốc biến thiên điều hòa theo thời gian. B. Động năng của vật biến thiên tuần hoàn theo thời gian. C. Vận tốc của vật biến thiên điều hòa theo thời gian. D. Cơ năng của vật biến thiên tuần hoàn theo thời gian.","",""
"Bài 11: Một vật nhỏ khối lượng 100 g dao động theo phương trình x = 8cos10t (x tính bằng cm, t tính bằng s). Động năng cực đại của vật bằng A. 32 mJ. B. 64 mJ. C. 16 mJ. D. 128 mJ.","",""
"Bài 12: Cơ năng của một vật dao động điều hòa A. biến thiên tuần hoàn theo thời gian với chu kì bằng một nửa chu kì dđ của vật. B. tăng gấp đôi khi biên độ dao động của vật tăng gấp đôi. C. bằng động năng của vật khi vật tới vị trí cân bằng. D. biến thiên tuần hoàn theo thời gian với chu kì bằng chu kỳ dao động của vật.","",""
"Bài 13: Một vật dao động điều hòa với biên độ 10 cm. Chọn mốc thế năng ở vị trí cân bằng. Tại vị trí vật có li độ 5 cm, tỉ số giữa thế năng và động năng của vật là A.. B.. C.. D..","",""
"Bài 14: Một vật nhỏ khối lượng 100 g dao động điều hòa với chu kì 0,2 s và cơ năng là 0,18 J (mốc thế năng tại vị trí cân bằng); Lấy . Tại li độ cm, tỉ số động năng và thế năng là: A. 1. B. 4. C. 3. D. 2.","",""
"Bài 15: Một vật dao động đều hòa dọc theo trục Ox. Mốc thế năng ở vị trí cân bằng. Ở thời điểm độ lớn vận tốc của vật bằng 50% vận tốc cực đại thì tỉ số giữa động năng và cơ năng của vật là: A. . B. . C. . D. .","",""
"Bài 16: Khi nói về cơ năng của một vật dđ điều hòa, phát biểu nào sau đây là đúng? A. Cứ mỗi chu kì dao động của vật, có bốn thời điểm thế năng bằng động năng. B. Thế năng của vật đạt cực đại khi vật ở vị trí cân bằng. C. Động năng của vật đạt cực đại khi vật ở vị trí biên. D. Thế năng và động năng của vật biến thiên cùng tần số với tần số của li độ.","",""
"Bài 17: Một vật dao động điều hòa với biên độ 6 cm. Mốc thế năng ở vị trí cân bằng. Khi vật có động năng bằng 0,75 lần cơ năng thì vật cách vị trí cân bằng một đoạn A. 6 cm. B. 4,5 cm. C. 4 cm. D. 3 cm.","",""
"Bài 18: Một vật nhỏ dao động điều hòa dọc theo trục Ox. Khi vật cách vị trí cân bằng một đoạn 2 cm thì động năng của vật là 0,48 J. Khi vật cách vị trí cân bằng một đoạn 6 cm thì động năng của vật là 0,32 J. Biên độ dao động của vật bằng A. 10 cm. B. 14 cm. C. 12 cm. D. 8 cm.","",""
"Bài 19: Vật nhỏ của một con lắc lò xo dđđh theo phương ngang, mốc thế năng tại VTCB. Khi gia tốc của vật có độ lớn bằng một nửa độ lớn gia tốc cực đại thì tỉ số giữa động năng và thế năng của vật là: A. . B. 3. C. 2. D. .","",""
"Bài 20: Một vật dao động điều hòa theo phương ngang với tần số góc 10 rad/s. Biết rằng khi động năng và thế năng (mốc ở vị trí cân bằng của vật) bằng nhau thì vận tốc của vật có độ lớn bằng 0,6 m/s. Biên độ dao động của con lắc là A. 6 cm. B. cm. C. 12 cm. D. cm.","",""
"Bài 21: Một vật dao động điều hoà, thời điểm thứ hai vật có động năng bằng ba lần thế năng kể từ lúc vật có li độ cực đại là s. Chu kì dao động của vật là A. 0,8 s. B. 0,2 s. C. 0,4 s. D. 0,5 s.","",""
"Bài 22: Một vật dao động điều hoà, cứ sau mỗi khoảng thời gian 0,5 s thì động năng lại bằng thế năng của vật. Khoảng thời gian ngắn nhất giữa hai lần động năng bằng ba lần thế năng của vật là: A. s. B. s. C. s. D. s.","",""
"Bài 23: Một vật có khối lượng 2 kg dao động điều hòa có đồ thị vận tốc theo thời gian như hình vẽ. Động năng cực đại của vật trong quá trình dđ bằng A. 0,16 J. B. 4,39 J. C. 0,40 J. D. 0,04 J.","",""
"Bài 24: Đồ thị động năng theo thời gian của một vật có khối lượng 0,4 kg dao động điều hòa. Tại thời điểm ban đầu vật đang chuyển động theo chiều dương. Lấy . Phương trình dao động của vật có dạng A.(cm). B. (cm). C. (cm). D.(cm).","",""
"Bài 25: Một vật nhỏ có khối lượng 2 kg dđđh với tần số góc (rad/s). Khi pha dđ là thì vận tốc của vật là cm/s. Lấy . Khi vật qua vị trí có li độ (cm) thì động năng của con lắc là: A. 0,36 J. B. 0,72 J. C. 0,03 J. D. 0,18 J.","",""
"Bài 26: Một chất điểm có khối lượng 160 g đang dao động điều hòa. Hình bên là đồ thị biểu diễn sự phụ thuộc của động năng Wđ của chất điểm theo thời gian t. Lấy . Biên độ dao động của chất điểm là A. 1,50 cm. B. 0,75 cm. C. 3,00 cm. D. 2,00 cm.","Động năng | Thế năng Công thức Sự phụ thuộc Dạng lượng giác Cơ năng | là tổng động năng và thế năng (hoặc cơ năng = động năng cực đại = thế năng cực đại) = hằng số | là tổng động năng và thế năng (hoặc cơ năng = động năng cực đại = thế năng cực đại) = hằng số Con lắc lò xo | Con lắc đơn Cấu tạo | Gồm: 1 lò xo nhẹ có độ cứng k 1 vật nhỏ có khối lượng m | Gồm: 1 sợi dây nhẹ, ko dãn có chiều dài l và 1 vật nhỏ có khối lượng m Tần số góc Chu kì | Chu kì phụ thuộc cấu tạo con lắc, ko phụ thuộc biên độ | Chu kì phụ thuộc chiều dài, gia tốc trọng trường, vị trí địa lí đặt vật, nhiệt độ, ngoại lực, ko phụ thuộc biên độ và khối lượng của con lắc Tần số Lực tác dụng | Lực đàn hồi của lò xo: Fđh = k.l (Fđh)max = k.(l0 + A) (Fđh)min = k.(l0 - A) nếu l >A (Fđh)min = 0 nếu l A | Lực căng của dây treo = mg(3cos - 2cos0) Tại VTCB: max = mg(3 - 2cos0) Tại VT biên: min = mgcos0 Cơ năng | Thế năng: Cơ năng: | Thế năng: Wt = mgl(1-cos) = Cơ năng: mgl(1-cos0)",""
"Câu 1: Một vật dao động điều hòa dọc theo trục Ox với biên độ 10 cm, tần số góc rad/s. Tại thời điểm t = 0 s vật có li độ 10 cm. Phương trình dao động của vật là: A. (cm). B. (cm). C. (cm). D. (cm).","",""
"Câu 2: Một vật dao động điều hòa dọc theo trục Ox với biên độ 5 cm, chu kì 2 s. Tại thời điểm t = 0 s vật đi qua vị trí cân bằng theo chiều dương. Phương trình dao động của vật là: A. (cm). B. (cm). C. (cm). D. (cm).","",""
"Câu 3: Một vật dao động điều hòa dọc theo trục Ox với chiều dài quỹ đạo 40 cm, tần số 0,5Hz. Tại thời điểm t = 0 s vật đi qua vị trí cân bằng theo chiều âm. Phương trình dao động của vật là: A.(cm). B. (cm). C.(cm). D.(cm).","",""
"Câu 4: Một vật nhỏ dđ điều hòa dọc theo trục Ox với tần số góc và có biên độ A. Biết gốc tọa độ O ở vị trí cân bằng của vật. Chọn gốc thời gian là lúc vật ở vị trí có li độ và đang chuyển động theo chiều dương. Phương trình dao động của vật là A.. B. . C. . D. .","",""
"Câu 5: Một vật dao động điều hòa với chu kì 2 s. Chọn gốc tọa độ ở vị trí cân bằng, gốc thời gian là lúc vật có li độ cm và đang chuyển động ra xa vị trí cân bằng với tốc độ cm/s. Phương trình dao động của vật là A. (cm). B. (cm) C. (cm). D. (cm).","",""
"Câu 6: Một vật nhỏ dao động điều hòa dọc theo trục Ox với tần số góc = 5 rad/s. Biết gốc tọa độ O ở vị trí cân bằng của vật. Lúc t = 0, vật đi qua vị trí có li độ là và có vận tốc. Phương trình dao động của vật là A. (cm). B. (cm). C. (cm). D. (cm).","",""
